level	let_mev_cm2_mg	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
high	0.01	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.010995218165011596	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.012089482249620098	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.013292649483660822	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.014615558106387948	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.016070124998313926	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.01766945302954682	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.01942794909162924	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.021361453876120245	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.02348738456897747	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.025824891746143414	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.028395031883665423	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.031220957036336136	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.03432812339349699	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.037744520590693754	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.041500923842845025	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.045631171170161265	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.050172468214091034	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.055165723389104096	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.06065591638938824	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.06669250337000263	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.07332986245239502	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.08062778356743756	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.0886520070485313	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.09747481582647473	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.10717568656064148	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.1178420055719155	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.1295698560265723	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.1424648834621305	0.0	0.0	1.1324811958561069e-10	0	128	ngspice_Qcrit_plus_RPP_charge_collection
